Area Prefix	Area Name
93	Afghanistan
9375	Afghanistan Mobile - AT
9370	Afghanistan Mobile - AWCC
9373	Afghanistan Mobile - Etisalat
9378	Afghanistan Mobile - Etisalat
9376	Afghanistan Mobile - MTN
9377	Afghanistan Mobile - MTN
937	Afghanistan Mobile - Others
9372	Afghanistan Mobile - Roshan
9379	Afghanistan Mobile - Roshan
9374	Afghanistan Mobile - Salaam
355	Albania
35568	Albania Mobile - AMC
35567	Albania Mobile - Eagle
35566	Albania Mobile - Plus
35569	Albania Mobile - Vodafone
35521160	Albania - AMC
35521161	Albania - AMC
35521250	Albania - AMC
35521340	Albania - AMC
35521440	Albania - AMC
3552155	Albania - AMC
35521650	Albania - AMC
35521651	Albania - AMC
35521740	Albania - AMC
35521741	Albania - AMC
3552185	Albania - AMC
35521940	Albania - AMC
3552253	Albania - AMC
3552254	Albania - AMC
3552440	Albania - AMC
35526160	Albania - AMC
35526250	Albania - AMC
35526293	Albania - AMC
35526323	Albania - AMC
35526350	Albania - AMC
35526363	Albania - AMC
35526373	Albania - AMC
35526383	Albania - AMC
35526450	Albania - AMC
35526490	Albania - AMC
35526523	Albania - AMC
35526563	Albania - AMC
35526650	Albania - AMC
35526673	Albania - AMC
35526723	Albania - AMC
35526770	Albania - AMC
35526840	Albania - AMC
35526890	Albania - AMC
35526950	Albania - AMC
35526970	Albania - AMC
35526990	Albania - AMC
35527023	Albania - AMC
35527043	Albania - AMC
35527053	Albania - AMC
35527070	Albania - AMC
35527140	Albania - AMC
35527190	Albania - AMC
35527223	Albania - AMC
35527253	Albania - AMC
35527270	Albania - AMC
35527280	Albania - AMC
35527323	Albania - AMC
35527350	Albania - AMC
35527370	Albania - AMC
35527390	Albania - AMC
35527440	Albania - AMC
35527470	Albania - AMC
35527490	Albania - AMC
35527523	Albania - AMC
35527550	Albania - AMC
35527570	Albania - AMC
35527590	Albania - AMC
35527623	Albania - AMC
35527660	Albania - AMC
35527693	Albania - AMC
35527723	Albania - AMC
35527760	Albania - AMC
35527790	Albania - AMC
35527840	Albania - AMC
35527860	Albania - AMC
35527880	Albania - AMC
35527923	Albania - AMC
35527950	Albania - AMC
35527970	Albania - AMC
35527990	Albania - AMC
35528123	Albania - AMC
35528124	Albania - AMC
35528143	Albania - AMC
35528144	Albania - AMC
35528190	Albania - AMC
35528223	Albania - AMC
35528250	Albania - AMC
35528270	Albania - AMC
35528290	Albania - AMC
35528323	Albania - AMC
35528350	Albania - AMC
35528390	Albania - AMC
35528450	Albania - AMC
35528523	Albania - AMC
35528570	Albania - AMC
35528623	Albania - AMC
35528643	Albania - AMC
35528680	Albania - AMC
35528763	Albania - AMC
35528790	Albania - AMC
35528823	Albania - AMC
35528850	Albania - AMC
35528870	Albania - AMC
35528890	Albania - AMC
35528923	Albania - AMC
35528950	Albania - AMC
35528970	Albania - AMC
35528990	Albania - AMC
35529140	Albania - AMC
35529190	Albania - AMC
35529240	Albania - AMC
35529280	Albania - AMC
35529340	Albania - AMC
35529370	Albania - AMC
35529390	Albania - AMC
35529423	Albania - AMC
35529460	Albania - AMC
35529490	Albania - AMC
35529523	Albania - AMC
35529550	Albania - AMC
35529570	Albania - AMC
35529590	Albania - AMC
35529623	Albania - AMC
35529650	Albania - AMC
35529680	Albania - AMC
35529723	Albania - AMC
35529750	Albania - AMC
35529763	Albania - AMC
35529780	Albania - AMC
35531150	Albania - AMC
35531151	Albania - AMC
35531250	Albania - AMC
35531350	Albania - AMC
35531351	Albania - AMC
3553270	Albania - AMC
3553350	Albania - AMC
3553351	Albania - AMC
3553490	Albania - AMC
3553491	Albania - AMC
3553560	Albania - AMC
35536023	Albania - AMC
35536043	Albania - AMC
35536063	Albania - AMC
35536073	Albania - AMC
35536090	Albania - AMC
35536150	Albania - AMC
35536240	Albania - AMC
35536290	Albania - AMC
35536340	Albania - AMC
35536380	Albania - AMC
35536440	Albania - AMC
35536480	Albania - AMC
35536540	Albania - AMC
35536580	Albania - AMC
35536640	Albania - AMC
35536670	Albania - AMC
35536740	Albania - AMC
35536770	Albania - AMC
35536840	Albania - AMC
35536890	Albania - AMC
35536923	Albania - AMC
35536993	Albania - AMC
35537140	Albania - AMC
35537141	Albania - AMC
35537223	Albania - AMC
35537263	Albania - AMC
35537283	Albania - AMC
35537293	Albania - AMC
35537340	Albania - AMC
35537370	Albania - AMC
35537393	Albania - AMC
35537450	Albania - AMC
35537490	Albania - AMC
35537494	Albania - AMC
35537523	Albania - AMC
35537563	Albania - AMC
35537590	Albania - AMC
35537623	Albania - AMC
35537680	Albania - AMC
35537740	Albania - AMC
35537773	Albania - AMC
35537790	Albania - AMC
35537823	Albania - AMC
35537843	Albania - AMC
35537853	Albania - AMC
35537870	Albania - AMC
35537890	Albania - AMC
35538150	Albania - AMC
35538151	Albania - AMC
35538152	Albania - AMC
